time,hum_rh,temp
2024-11-30T05,21,22.6
2024-11-30T06,21,22.6
2024-11-30T07,21,22.6
2024-11-30T08,22,22.5
2024-11-30T09,22,22.2
2024-11-30T10,22,22.0
2024-11-30T11,20,21.9
2024-11-30T12,20,21.8
2024-11-30T13,20,21.6
2024-11-30T14,20,21.8
2024-11-30T15,20,22.1
2024-11-30T16,20,22.2
2024-11-30T17,20,22.2
2024-11-30T18,17,22.3
2024-11-30T19,20,22.4
2024-11-30T20,20,22.4
2024-11-30T21,20,22.4
2024-11-30T22,20,22.3
2024-11-30T23,20,22.3
2024-12-01T00,17,22.3
2024-12-01T01,17,22.2
2024-12-01T02,17,22.1
2024-12-01T03,17,21.9
2024-12-01T04,15,21.8
2024-12-01T05,17,21.6
2024-12-01T06,17,21.6
2024-12-01T07,17,21.4
2024-12-01T08,17,21.3
2024-12-01T09,17,21.2
2024-12-01T10,15,21.2
2024-12-01T11,15,21.2
2024-12-01T12,15,21.3
2024-12-01T13,15,21.3
2024-12-01T14,15,21.3
2024-12-01T15,15,21.2
2024-12-01T16,15,21.2
2024-12-01T17,15,21.2
2024-12-01T18,15,21.1
2024-12-01T19,15,20.9
2024-12-01T20,15,20.9
2024-12-01T21,10,20.8
2024-12-01T22,15,20.6
2024-12-01T23,15,20.5
2024-12-02T00,10,20.6
2024-12-02T01,15,20.9
2024-12-02T02,15,21.1
2024-12-02T03,15,21.1
2024-12-02T04,15,21.2
2024-12-02T05,10,21.1
2024-12-02T06,15,20.9
2024-12-02T07,15,20.5
2024-12-02T08,15,20.5
2024-12-02T09,15,20.9
2024-12-02T10,15,21.3
2024-12-02T11,15,21.9
2024-12-02T12,15,22.2
2024-12-02T13,15,22.5
2024-12-02T14,12,22.9
2024-12-02T15,16,24.3
2024-12-02T16,12,24.2
2024-12-02T17,12,24.1
2024-12-02T18,12,23.6
2024-12-02T19,12,23.0
2024-12-02T20,12,22.8
2024-12-02T21,15,22.5
2024-12-02T22,15,22.3
2024-12-02T23,15,22.3
2024-12-03T00,10,22.3
2024-12-03T01,10,22.2
2024-12-03T02,10,22.2
2024-12-03T03,10,22.2
2024-12-03T04,10,22.1
2024-12-03T05,10,22.1
2024-12-03T06,10,22.0
2024-12-03T07,10,21.9
2024-12-03T08,10,21.9
2024-12-03T09,10,21.9
